name,image,url,description,meta_description,meta_keyword
"FELO","https://www.vermontsales.co.za/image/data/manufacturers/FELO_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=318","<div class='manuf_desc_box'>


	<p>
	<img height='67' src='https://www.vermontsales.co.za/images/brands/felo_logo.png' style='float: right; margin-left: 15px; margin-bottom: 5px' width='256' />In 
	1950 Felo Werkzeug­fabrik was founded in Neustadt (Hessen), Germany. Driven 
	by innovation, quality consciousness and enthusiasm, the company grew from its 
	humble beginnings with 2 employees into one of the leading manufacturers of 
	screwdrivers and bits, employing over 200 employees. Over 60 Years of excellence!</p>

<table style='width: 100%'>
	<tr>
		<td style='text-align: center'>
		<a class='button' href='http://www.felo.com/en/' target='_blank'>Company website</a></td>
		<td style='text-align: center'>
		<a class='button' target='_blank' href='https://drive.google.com/open?id=0B5R67v3yi2j5UndPTk1sZVkwSEU'>
		Catalogue Download</a></td>
	</tr>
</table>

</div>
","Driven 
	by innovation, quality consciousness and enthusiasm, the company grew from its 
	humble beginnings with 2 employees into one of the leading manufacturers of 
	screwdrivers and bits, employing over 200 employees. Over 60 Years of excellence","FELO,screwdrivers,bits,"
"FESTOOL","https://www.vermontsales.co.za/image/data/manufacturers/FESTOOL_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=515","FESTOOL","FESTOOL","FESTOOL"
"FIXMAN","https://www.vermontsales.co.za/image/data/manufacturers/FIXMAN_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=248","<div class='manuf_desc_box'>
	<p>
	<img height='57' src='https://www.vermontsales.co.za/images/brands/fixman_logo.png' style='float: right; margin-left: 15px' width='211' />The 
	name says it all. 'There is a bit of handyman in all of us...' Fixman is a new 
	range of presentable, quality and affordable hand-tools that was first introduced 
	to Australia in September 2012. The range is comprehensive and is designed to 
	suit the DIYer or Home Handyman. You will notice the difference when you see 
	the Fixman range.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: right'>
			<a class='button' href='https://drive.google.com/open?id=0B8eZTrAV7vY3LUhsZEJ4eDN3cWM' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","The name says it all. 'There is a bit of mechanic in all of us...' Fixman is a new range of presentable, quality and affordable hand-tools that was first introduced to Australia in September 2012. The range is comprehensive and is designed to su","FIXMAN,handyman tools,pliers,spanners,sockets,wrenche,screwdriver,toolbox,tool tolley,tool cabinet,"
"FLEX","https://www.vermontsales.co.za/image/data/manufacturers/FLEX_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=551","FLEX","FLEX","FLEX"
"FLEXIPADS","https://www.vermontsales.co.za/image/data/manufacturers/FLEXIPADS_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=269","<div class='manuf_desc_box'>
	<p>
	<img height='70' src='https://www.vermontsales.co.za/images/brands/flexipads_logo.png' style='float: left; margin-right: 15px' width='211' />Manufacturing 
	excellence since 1974 from Europe. Probably one of the best solutions for sanding 
	pads, backing pads and polishing. The range of products is extensive and well 
	made. </p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.flexipads.com/' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_Mnd0OFVKMUVPWkU
' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Manufacturing excellence since 1974 from Europe. Probably one of the best solutions for sanding pads, backing pads and polishing. The range of products is extensive and well made. Imported from the UK.
","FLEXIPADS,polishing,polishes,automotive shine,automotive polish,buffing,"
"GAV","https://www.vermontsales.co.za/image/data/manufacturers/GAV_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=167","<div class='manuf_desc_box'>
	<p>
	<img height='79' src='https://www.vermontsales.co.za/images/brands/gav_logo.png' style='float: left; margin-left: 10px' width='211' />GAV 
	of Brendola (VI) have been producing pipe fittings and accessories for compressed 
	air and spray guns since 1974. An extensive range of pipe fittings, ball valves, 
	joints, pipes and a wide range of accessories all made in Italy. The GAV product 
	range is well known throughout South Africa and used in many factories around 
	the country. Al spare parts for the product range is locally available from 
	Vermont Sales.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.gav.it/' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_eDdJeEZLdGNDQUE' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>

","GAV of Brendola have been producing pipe fittings and accessories for compressed air and spray guns since 1974. An extensive range of pipe fittings, ball valves, joints, pipes and a wide range of accessories all made in Italy. ","GAV,pneumatic fittings,pneumatic joints,pneumatic couplers,air products,air hoses,air fittings,"
"HALO","https://www.vermontsales.co.za/image/data/manufacturers/HALO_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=460","HALO","HALO","HALO"
"HOWARD","https://www.vermontsales.co.za/image/data/manufacturers/HOWARD_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=287","<div class='manuf_desc_box'>
	<p>
	<img alt='Howard wood restoring products' height='107' src='https://www.vermontsales.co.za/images/brands/howard.png' style='float: right; margin-left: 15px' width='147' />Preserving 
	the original wood finish while restoring an antique can mean preserving the 
	authenticity and value of an 'original'. Conversely, stripping the existing 
	wood finish can mean making it less antique, and can literally translate into 
	stripping the value of the piece. <span style='color: #666666'>&nbsp;</span>In 
	1969, Douglas G. Howard set out to solve this dilemma. Unable to find an answer 
	at his local hardware store, he went to work in his garage to create his own 
	product.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.howardproducts.com/' target='_blank'>
			Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0B5R67v3yi2j5VDJ2bEtUQVVSc1E' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Preserving the original wood finish while restoring an antique can mean preserving the authenticity and value of an 'original'. Conversely, stripping the existing wood finish can mean making it less antique, and can literally translate into stri","HOWARD products,wood finishing,varnishes,varnish,wood polish,wood protection,wood gloss,wood restoration,restoring wood,"
"JORGENSEN","https://www.vermontsales.co.za/image/data/manufacturers/JORGENSEN_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=541","JORGENSEN","JORGENSEN","JORGENSEN"
"KOELNER","https://www.vermontsales.co.za/image/data/manufacturers/KOELNER_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=531","KOELNER","KOELNER","KOELNER"
