model,availability,price,barcode
"480000.04","152","181.2000","8004601028656"
"480002.02","282","125.8500",""
"638668","386","125.9500","7638900386684"
"639357","135","172.5500","7638900393576"
"639825","31","437.1700","7638900398250"
"A23BP1","7715","25.7600","8888021300116"
"A23BP2","1440","45.4900","8888021300574"
"A27BP1","1424","23.4400","8888021300369"
"A544BP1","155","88.2900","8888021700633"
"AB03170","216","45.0500","6009515816834"
"AB03300","58","61.1500","6009515816995"
"AB03400","48","72.8500","6009515817152"
"AB04170","223","46.5500","6009515816841"
"AB04300","29","61.1500","6009515817008"
"AB04400","81","75.1000","6009515817169"
"AB05170","180","46.0000","6009515816858"
"AB05300","6","61.1500","6009515817015"
"AB05400","65","72.8500","6009515817176"
"AB06170","74","46.9500","6009515816865"
"AB06300","50","67.1500","6009515817022"
"AB06400","25","75.9500","6009515817183"
"AB06460","81","76.8000","6009515817244"
"AB08170","162","51.4000","6009515816872"
"AB08300","83","68.4000","6009515817039"
"AB08400","108","83.6500","6009515817190"
"AB08460","82","90.2000","6009515817251"
"AB10170","226","61.4500","6009515816889"
"AB10300","147","78.7000","6009515817046"
"AB10400","327","92.6500","6009515817206"
"AB10460","222","95.2500","6009515817268"
"AB12170","45","67.1500","6009515816896"
"AB12300","303","87.2000","6009515817053"
"AB12400","334","113.6500","6009515817213"
"AB12460","475","119.0000","6009515817275"
"AB13170","391","72.7500","6009515816902"
"AB13300","30","94.5000","6009515817060"
"AB13400","163","115.9500","6009515817220"
"AB13460","-49","126.5500","6009515817282"
"AB14170","212","71.5500","6009515816919"
"AB14300","41","97.3500","6009515817077"
"AB14400","65","118.1500","6009515817237"
"AB14460","118","129.8500","6009515817299"
"AB16170","114","92.6500","6009515816926"
"AB16300","57","120.4000","6009515817084"
"AB16460","250","175.0500","6009515817305"
"AB18170","167","102.0000","6009515816933"
"AB18300","184","138.0000","6009515817091"
"AB18460","204","197.1500","6009515817312"
"AB19170","173","111.5500","6009515816940"
"AB19300","47","141.1500","6009515817107"
"AB19300B","196","138.5000",""
"AB19460","-86","209.8500","6009515817329"
"AB20170","14","115.0500","6009515816957"
"AB20300","134","146.6500","6009515817114"
"AB20460","1","216.4000","6009515817336"
"AB22170","89","124.7500","6009515816964"
"AB22300","-10","174.6500","6009515817121"
"AB22300B","538","176.1500","6009515809454"
"AB22300SP","446","176.1500","6009515852757"
"AB22460","-62","251.5500","6009515817343"
"AB24","0","196.2500","6009600404991"
"AB24170","55","145.6000","6009515816971"
"AB24300","105","201.8000","6009515817138"
"AB24460","25","299.8000","6009515817350"
"AB25170","95","160.6000","6009515816988"
"AB25300","77","220.7500","6009515817145"
"AB25460","8","330.8000","6009515817367"
"ABR01040","12","281.8500","6009515823993"
"ABR01040-10","101","64.0500","6009515826741"
"ABR01060","35","281.8500","6009515824006"
"ABR01060-10","93","64.0500","6009515826758"
"ABR01080","159","309.7000","6009515824013"
"ABR01080-10","-9","64.0500","6009515826765"
"ABR01100","62","281.8500","6009515824020"
"ABR01100-10","48","64.0500","6009515826772"
"ABR01120","37","281.8500","6009515824037"
"ABR01120-10","77","64.0500","6009515826789"
"ABR01180","4","281.8500","6009515824044"
"ABR01180-10","64","64.0500","6009515826796"
"ABR01240","75","281.8500","6009515824051"
"ABR01240-10","144","64.0500","6009515826802"
"ABR01400","189","281.8500","6009515824068"
"ABR01400-10","29","64.0500","6009515826819"
"ABR02040","162","511.1000","6009515824075"
"ABR02040-10","6","106.6000","6009515826826"
"ABR02060","116","511.1000","6009515824082"
"ABR02060-10","1","106.6000","6009515826833"
"ABR02080","22","511.1000","6009515824099"
"ABR02080-10","-8","106.6000","6009515826840"
"ABR02100","17","511.1000","6009515824105"
"ABR02100-10","10","106.6000","6009515826857"
"ABR02120","98","511.1000","6009515824112"
"ABR02120-10","6","106.6000","6009515826864"
"ABR02150","153","511.1000","6009515836580"
"ABR02180","196","511.1000","6009515824129"
"ABR02180-10","83","106.6000","6009515826871"
"ABR02240","182","511.1000","6009515824136"
"ABR02240-10","97","106.6000","6009515826888"
"ABR02400","54","511.1000","6009515824143"
"ABR02400-10","59","107.1000","6009515826895"
"ABR03040","520","27.1000","6009515804510"
"ABR03040-10","53","120.5500","6009515807757"
"ABR03060","-12","27.1000","6009515804503"
"ABR03060-10","46","120.5500","6009515807764"
"ABR03080","43","27.1000","6009515804497"
"ABR03080-10","1","120.5500","6009515807771"
"ABR03100","90","27.1000","6009515811761"
"ABR03100-10","78","120.5500","6009515850005"
"ABR03120","159","27.1000","6009515804480"
"ABR03120-10","28","120.5500","6009515807788"
"ABR03150","1054","27.1000","6009515833565"
"ABR03180","1229","27.1000","6009515833572"
"ABR03240","1233","27.1000","6009515833589"
"ABR03320","1374","27.1000","6009515833596"
"ABR04040","150","27.9000","6009515807146"
"ABR04040-10","53","126.9000","6009515808075"
"ABR04060","138","27.9000","6009515807153"
"ABR04060-10","60","126.9000","6009515808082"
"ABR04080","157","27.9000","6009515807160"
"ABR04080-10","34","126.9000","6009515808099"
"ABR04100","121","27.9000","6009515811853"
"ABR04120","163","27.1000","6009515807177"
"ABR04150","865","27.1000","6009515844745"
"ABR04180","849","27.1000","6009515844752"
"ABR04240","870","27.1000","6009515844769"
"ABR04320","894","27.1000","6009515844776"
"ABR06040","1132","37.9000","6009515804558"
"ABR06040-10","-3","130.5000","6009515807795"
"ABR06060","387","37.9000","6009515804541"
"ABR06060-10","66","127.9000","6009515807801"
"ABR06080","1139","37.9000","6009515804534"
"ABR06080-10","36","127.9000","6009515807818"
"ABR06100","1441","37.9000","6009515811778"
"ABR06100-10","25","122.0000","6009515842390"
"ABR06120","1705","37.9000","6009515804527"
"ABR06120-10","1","127.9000","6009515807825"
"ABR06180","29","37.9000","6009515836139"
"ABR06240","-47","37.9000","6009515860370"
"ABR06400","43","31.4000","6009515836153"
"ABR06600","267","31.4000","6009515836160"
"ABR07040","38","40.3000","6009515805241"
"ABR07040-10","4","120.6500","6009515807832"
"ABR07060","61","56.2500","6009515805234"
"ABR07060-10","55","142.3500","6009515807849"
"ABR07080","82","42.7500","6009515805227"
"ABR07080-10","100","147.8000","6009515807856"
"ABR07100","31","52.7500","6009515811785"
"ABR07120","80","52.7500","6009515805210"
"ABR07120-10","46","147.8000","6009515807863"
"ABR07600","349","26.8000","6009515811723"
"ABR09040","3642","45.4500","6009515804596"
"ABR09040-10","252","157.4000","6009515807870"
"ABR09060","2170","45.4500","6009515804589"
"ABR09060-10","-1","143.5500","6009515807887"
"ABR09080","1476","45.4500","6009515804572"
"ABR09080-10","223","130.3000","6009515807894"
"ABR09100","2583","40.1500","6009515811792"
"ABR09100-10","337","157.4000","6009515821647"
"ABR09120","2821","43.3500","6009515804565"
"ABR09120-10","207","150.9500","6009515807900"
"ABR09180","2810","42.1500","6009515836177"
"ABR09240","13","42.0500","6009515851675"
"ABR09400","-44","40.1500","6009515836191"
"ABR09600","1","35.3500","6009515836207"
"ABR100060","298","200.9000","6009515812898"
"ABR100080","259","200.9000","6009515812904"
"ABR100100","149","200.9000","6009515812911"
"ABR100120","2","200.9000","6009515812928"
"ABR100150","240","200.9000","6009515812935"
"ABR100180","106","200.9000","6009515812942"
"ABR100220","35","200.9000","6009515812959"
"ABR102040","1818","15.7500","6009515813031"
"ABR102060","3298","15.7500","6009515813048"
"ABR102080","4906","15.7500","6009515813055"
"ABR102100","5721","15.7500","6009515813062"
"ABR103060","235","296.9500","6009515813079"
"ABR103060-10","1402","52.3500","6009515865870"
"ABR103080","64","296.9500","6009515813086"
"ABR103080-10","1281","52.3500","6009515865887"
"ABR103100","303","296.9500","6009515813093"
"ABR103100-10","1613","52.3500","6009515865894"
"ABR103120","-35","296.9500","6009515813109"
"ABR103120-10","1043","46.5000","6009515865900"
"ABR1031200","78","296.9500","6009515813192"
"ABR1031200-10","554","46.5000","6009515865917"
"ABR103150","251","296.9500","6009515813116"
"ABR103180","-27","296.9500","6009515813123"
"ABR103180-10","1079","46.5000","6009515865924"
"ABR103220","26","296.9500","6009515813130"
"ABR103220-10","374","46.5000","6009515865931"
"ABR103320","148","296.9500","6009515813147"
"ABR103320-10","799","46.5000","6009515865948"
"ABR103360","-26","296.9500","6009515813154"
"ABR103400","-13","296.9500","6009515813161"
"ABR103400-10","663","46.5000","6009515865955"
"ABR103600","12","296.9500","6009515813178"
"ABR103600-10","642","46.5000","6009515865962"
"ABR103800","-19","296.9500","6009515813185"
"ABR103800-10","636","46.5000","6009515865979"
"ABR105036","-3","349.9000","6009515836641"
"ABR105060","18","349.9000","6009515836658"
"ABR105080","-5","349.9000","6009515836665"
"ABR105120","-2","349.9000","6009515836672"
"ABR115GC","-358","26.3000","6009515830106"
"ABR115M-1","6628","19.5000","6009515807351"
"ABR115M-2","9163","19.5500","6009515807368"
"ABR115M-3","1794","19.5000","6009515816353"
"ABR115M-4","5773","19.5000","6009515818517"
"ABR115M-5","3567","19.5000","6009675089529"
"ABR115S-1","14373","12.0000","6009515807320"
"ABR115S-10","524179","12.4500","6009515860448"
"ABR115S-11","3619","13.5500","6009515863418"
"ABR115S-12","3157","13.8500","6009515863425"
"ABR115S-2","159889","11.7500","6009515807337"
"ABR115S-2-10P","8695","113.4500","6009515840839"
"ABR115S-2-25P","4798","217.0000","6009515840846"
"ABR115S-3","16654","11.7000","6009515807719"
"ABR115S-4","9095","14.8500","6009515816346"
"ABR115S-5","-142","11.7000","6009515817534"
"ABR115S-6","15298","11.7000","6009515817541"
"ABR115S-7","5415","11.7000","6009515817558"
"ABR115S-8","6095","13.7500","6009515817565"
"ABR115S-9","-578","13.4500","6009515818470"
"ABR115SE","151346","11.7500","6009515850098"
"ABR115SM","12655","18.4500","6009515826987"
"ABR115SS-1","10086","12.4500","6009515816384"
"ABR115SS-2","-14","12.4500","6009515816391"
"ABR115SS-3","3908","13.7500","6009515818425"
"ABR115SS-4","4033","16.1500","6009515818487"
"ABR12040","80","54.1500","6009515804633"
"ABR12040-10","103","152.5500","6009515807917"
"ABR12060","130","48.2000","6009515804626"
"ABR12060-10","111","152.5500","6009515807924"
"ABR12080","357","48.2000","6009515804619"
"ABR12080-10","79","168.1000","6009515807931"
"ABR12100","33","48.2000","6009515811808"
"ABR12120","117","50.1000","6009515804602"
"ABR12120-10","104","174.9000","6009515807948"
"ABR125M-1","740","29.4500","6009515813628"
"ABR125S-1","1500","29.4500","6009515813604"
"ABR125S-2","613","29.4500","6009515813611"
"ABR13040","27","75.8000","6009515850159"
"ABR13060","26","66.1500","6009515850166"
"ABR13080","78","59.4500","6009515850173"
"ABR13100","-1","59.4500","6009515850180"
"ABR13120","479","59.4500","6009515850197"
"ABR14040","111","65.4500","6009515807108"
"ABR14040-10","22","223.6500","6009515808037"
"ABR14060","119","66.3000","6009515807115"
"ABR14060-10","5","241.0500","6009515808044"
"ABR14080","19","66.9000","6009515807122"
"ABR14080-10","9","229.1500","6009515808051"
"ABR14100","63","52.7500","6009515811860"
"ABR14120","100","52.7500","6009515807139"
"ABR14120-10","1","229.1500","6009515808068"
"ABR15040","238","65.7500","6009515804671"
"ABR15040-10","70","215.5500","6009515807955"
"ABR15060","143","65.7500","6009515804664"
"ABR15060-10","48","201.9500","6009515807962"
"ABR15080","343","65.7500","6009515804657"
"ABR15080-10","122","215.5500","6009515807979"
"ABR15100","122","65.7500","6009515811815"
"ABR15100-10","104","215.5500","6009515821654"
"ABR15120","29","65.7500","6009515804640"
"ABR15120-10","5","201.9500","6009515807986"
"ABR17040","-5","109.8000","6009515850104"
"ABR17060","462","95.3000","6009515850111"
"ABR17080","0","84.9000","6009515850128"
"ABR17100","49","84.9000","6009515850135"
"ABR17120","89","84.9000","6009515850142"
"ABR18040","1448","65.7500","6009515804718"
"ABR18040-10","71","235.6500","6009515807993"
"ABR18060","1206","65.7500","6009515804701"
"ABR18060-10","268","222.5000","6009515808006"
"ABR18080","1752","63.9000","6009515804695"
"ABR18080-10","584","254.0000","6009515808013"
"ABR180S","3707","25.6000","6009515860486"
"ABR18100","1635","58.6500","6009515811822"
"ABR18100-10","71","246.5500","6009515821661"
"ABR18120","737","60.8500","6009515804688"
"ABR18120-10","258","241.8000","6009515808020"
"ABR18180","211","53.9000","6009515836214"
"ABR18240","62","50.0000","6009515836221"
"ABR18400","153","48.6000","6009515836238"
"ABR18600","429","48.6000","6009515836245"
"ABR19040","127","80.8000","6009515816209"
"ABR19060","142","80.8000","6009515816216"
"ABR19080","167","80.8000","6009515816223"
"ABR19100","98","95.9500","6009515816230"
"ABR19120","270","95.9500","6009515816247"
"ABR20040","325","50.2000","6009515813390"
"ABR20060","525","50.2000","6009515813406"
"ABR20080","366","50.2000","6009515813413"
"ABR20100","362","50.2000","6009515813420"
"ABR20120","470","50.2000","6009515813437"
"ABR21060","-102","15.0500","6009515804756"
"ABR21080","423","15.0500","6009515804749"
"ABR21120","711","15.0500","6009515804732"
"ABR21240","111","15.0500","6009515804725"
"ABR22060","1077","17.0000","6009515812300"
"ABR22080","416","17.0000","6009515812317"
"ABR22120","532","17.0000","6009515812324"
"ABR22240","363","17.0000","6009515812331"
"ABR230M-1","2727","39.3000","6009515807344"
"ABR230M-2","1428","39.9500","6009515816377"
"ABR230M-3","1368","39.3000","6009515818524"
"ABR230S-1","368","35.0000","6009515807313"
"ABR230S-10","21173","34.5000","6009515860479"
"ABR230S-2","13505","35.0000","6009515807726"
"ABR230S-3","8567","36.9500","6009515816360"
"ABR230S-5","1100","36.9500","6009515817589"
"ABR230S-6","1125","36.9500","6009515817596"
"ABR230S-7","730","36.9500","6009515818494"
"ABR230S-8","11540","36.5000","6009515860455"
"ABR230S-9","13061","36.3000","6009515860462"
"ABR230SM","223","38.9500","6009515829919"
"ABR230SS-3","2621","36.9500","6009515818500"
"ABR24040","397","35.6500","6009515814229"
"ABR24060","308","35.6500","6009515804794"
"ABR24080","125","37.8500","6009515814236"
"ABR24120","160","37.8500","6009515804787"
"ABR24180","400","37.8500","6009515804770"
"ABR24240","254","37.8500","6009515804763"
"ABR25040","881","24.2500","6009515856199"
"ABR25060","-237","24.2500","6009515856205"
"ABR25080","-624","24.2500","6009515835750"
"ABR25120","-365","24.2500","6009515835767"
"ABR25180","3597","24.2500","6009515835774"
"ABR25220","4358","24.2500","6009515835781"
"ABR25400","257","24.2500","6009515835798"
"ABR25600","-288","24.2500","6009515835804"
"ABR26040","54","38.7000","6009515845674"
"ABR26060","57","38.7000","6009515845681"
"ABR26080","32","38.7000","6009515845698"
"ABR26100","27","38.7000","6009515845704"
"ABR26120","18","38.7000","6009515845711"
"ABR27040","20","44.7500","6009515814267"
"ABR27060","195","44.7500","6009515804831"
"ABR27060-1","19372","4.6000",""
"ABR27080","-85","44.7500","6009515814274"
"ABR27120","-71","44.7500","6009515804824"
"ABR27180","124","44.7500","6009515804817"
"ABR27240","180","44.7500","6009515804800"
"ABR28040","86","25.5500","6009515857493"
"ABR28060","39","25.5500","6009515857509"
"ABR28080","52","25.5500","6009515857516"
"ABR28120","30","25.5500","6009515857523"
"ABR28180","44","25.5500","6009515857530"
"ABR30040","-12","44.7500","6009515814243"
"ABR30060","79","44.7500","6009515804879"
"ABR30080","-98","44.7500","6009515814250"
"ABR300S","1863","76.9500","6009515808716"
"ABR30120","-113","44.7500","6009515804862"
"ABR30180","-99","44.7500","6009515804855"
"ABR30240","464","44.7500","6009515804848"
"ABR33040","-479","47.5000","6009515814281"
"ABR33060","-665","47.5000","6009515804916"
"ABR33080","-812","47.5000","6009515814298"
"ABR33120","-1250","47.5000","6009515804909"
"ABR33180","-296","47.5000","6009515804893"
"ABR33240","-679","47.5000","6009515804886"
"ABR35040","430","52.3500","6009515814328"
"ABR35060","247","52.3500","6009515814335"
"ABR35080","-32","52.3500","6009515814342"
"ABR350S","-16","99.0000","6009515808723"
"ABR35120","383","52.3500","6009515814359"
"ABR35180","353","52.3500","6009515814366"
"ABR35240","267","52.3500","6009515814373"
"ABR36040","-268","57.3000","6009515814304"
"ABR36060","-132","57.3000","6009515804954"
"ABR36080","-79","57.3000","6009515814311"
"ABR36120","-212","57.3000","6009515804947"
"ABR36180","-18","57.3000","6009515804930"
"ABR36240","-20","57.3000","6009515804923"
"ABR36320","100","57.3000","6009515850944"
"ABR36400","93","57.3000","6009515850951"
"ABR36600","158","57.3000","6009515850968"
"ABR37060","570","20.6500","6009515865740"
"ABR37080","180","19.9000","6009515865757"
"ABR37120","142","18.8500","6009515865764"
"ABR37180","170","24.2500","6009515865771"
"ABR39040","110","40.6000","6009515814380"
"ABR39060","375","40.6000","6009515804992"
"ABR39080","291","40.6000","6009515814397"
"ABR39120","122","40.6000","6009515804985"
"ABR39180","421","40.6000","6009515804978"
"ABR39240","531","40.6000","6009515804961"
"ABR40040","235","39.3000","6009515856250"
"ABR40060","-25","39.3000","6009515856267"
"ABR40080","-26","39.3000","6009515856274"
"ABR400S","197","159.0000","6009515860363"
"ABR40100","-13","39.3000","6009515856281"
"ABR40120","303","39.3000","6009515856298"
"ABR40180","274","39.3000","6009515856304"
"ABR42040","99","41.3500","6009515814403"
"ABR42060","306","47.9000","6009515805036"
"ABR42080","280","41.3500","6009515814410"
"ABR42120","348","41.3500","6009515805029"
"ABR42180","458","41.3500","6009515805012"
"ABR42240","174","41.3500","6009515805005"
"ABR43040","495","46.0000","6009515850203"
"ABR43060","395","46.0000","6009515850210"
"ABR43080","336","46.0000","6009515850227"
"ABR43100","321","46.0000","6009515850234"
"ABR43120","406","46.0000","6009515850241"
"ABR43180","192","46.0000","6009515850258"
"ABR43220","-4","46.0000","6009515850265"
"ABR43240","144","46.0000","6009515850272"
"ABR43320","6","46.0000","6009515850289"
"ABR43400","187","46.0000","6009515850296"
"ABR43600","36","46.0000","6009515850302"
"ABR45080","377","36.4500","6009515805067"
"ABR45120","449","36.4500","6009515805050"
"ABR45180","748","36.4500","6009515805043"
"ABR46050","260","20.3500","6009515807207"
"ABR46080","-334","20.3500","6009515807191"
"ABR46120","1388","20.3500","6009515827960"
"ABR46150","772","20.3500","6009515807184"
"ABR46180","549","20.3500","6009515827977"
"ABR48080","638","41.0500","6009515805098"
"ABR48120","219","41.0500","6009515805081"
"ABR48180","334","41.0500","6009515805074"
"ABR49050","455","48.8500","6009515807238"
"ABR49080","205","48.8500","6009515807221"
"ABR49120","385","48.8500","6009515839307"
"ABR49150","473","48.8500","6009515807214"
"ABR51016","845","55.9000","6009515825904"
"ABR51024","-1","55.9000","6009515823795"
"ABR51036","513","55.9000","6009515805333"
"ABR51060","235","55.9000","6009515805340"
"ABR51080","123","55.9000","6009515840778"
"ABR51100","-184","55.9000","6009515805357"
"ABR54016","165","117.2500","6009515825911"
"ABR54024","124","117.2500","6009515823801"
"ABR54036","97","117.2500","6009515805364"
"ABR54060","118","117.2500","6009515805371"
"ABR54080","65","117.2500","6009515840785"
"ABR54100","34","117.2500","6009515805388"
"ABR55016","11664","10.4500","6009515831974"
"ABR55024","7407","10.4500","6009515817886"
"ABR55036","-252","10.4500","6009515817893"
"ABR55060","3208","10.4500","6009515817909"
"ABR55080","945","10.4500","6009515817916"
"ABR55100","-363","10.4500","6009515829896"
"ABR56016","157","23.1000","6009515831981"
"ABR56024","1949","23.1000","6009515817923"
"ABR56036","-22","23.1000","6009515817930"
"ABR56060","-123","23.1000","6009515817947"
"ABR56080","411","23.1000","6009515817954"
"ABR56100","1443","22.8500","6009515833411"
"ABR57080","2454","4.0500","6009515805517"
"ABR57120","4368","4.0500","6009515805524"
"ABR57180","1779","4.0500","6009515805531"
"ABR58080","1176","17.0000","6009515850616"
"ABR58080-03","455","80.2000","6009515866068"
"ABR58120","859","17.0000","6009515850623"
"ABR58120-03","49","80.2000","6009515866075"
"ABR58150","469","17.0000","6009515850630"
"ABR58150-03","224","80.2000","6009515866082"
"ABR58180","675","17.0000","6009515850647"
"ABR58180-03","243","80.2000","6009515866099"
"ABR58240","898","17.0000","6009515850654"
"ABR58240-03","181","80.2000","6009515866105"
"ABR58320","312","17.0000","6009515850661"
"ABR58320-03","115","80.2000","6009515866112"
"ABR58400","433","17.0000","6009515850678"
"ABR58400-03","90","80.2000","6009515866129"
"ABR58500","125","17.0000","6009515850685"
"ABR58500-03","-72","80.2000","6009515866136"
"ABR60040","21","30.5500","6009515805579"
"ABR60080","-17","30.5500","6009515805562"
"ABR60120","619","30.5500","6009515805555"
"ABR60240","134","30.5500","6009515805548"
"ABR63040","516","27.3000","6009515805616"
"ABR63080","331","27.3000","6009515805609"
"ABR63120","137","27.3000","6009515805593"
"ABR63240","751","27.3000","6009515805586"
"ABR70000","3370","63.8500","6009515818432"
"ABR70001","2373","64.4000","6009515818449"
"ABR70007","2028","31.0500","6009515817978"
"ABR70010","12","114.3000","6009515825003"
"ABR70011","178","152.2000","6009515825010"
"ABR70012","71","204.6500","6009515825027"
"ABR70013","31","90.8500","6009515826321"
"ABR70014","1118","61.0500","6009515826338"
"ABR70015","1","183.9500","6009515827694"
"ABR70016","133","66.4000","6009515827700"
"ABR70017","144","66.4000","6009515827717"
"ABR70018","152","66.4000","6009515827724"
"ABR70019","21","66.4000","6009515829957"
"ABR70020","155","231.3000","6009515834951"
"ABR70021","908","66.4000","6009515837334"
"ABR70022","116","130.4000","6009515864033"
"ABR70023","431","161.1000","6009515864040"
"ABR70024","107","211.0000","6009515864057"
"ABR72016","241","36.3500","6009515806804"
"ABR72024","923","37.0000","6009515821975"
"ABR72036","-40","37.0000","6009515806811"
"ABR72060","818","37.0000","6009515806828"
"ABR75016","-336","81.2000","6009515806835"
"ABR75024","363","81.2000","6009515821982"
"ABR75036","168","81.2000","6009515806842"
"ABR75060","420","81.2000","6009515806859"
"ABR89040","370","39.3000","6009515823863"
"ABR89060","354","39.3000","6009515823870"
"ABR89080","300","39.3000","6009515823887"
"ABR89100","323","39.3000","6009515823894"
"ABR89120","317","39.3000","6009515823900"
"ABR90040","275","21.7000","6009515807245"
"ABR90080","192","22.9000","6009515807252"
"ABR90100","551","21.6500","6009515811839"
"ABR90120","212","22.9000","6009515807269"
"ABR91040","41","25.6500","6009515856533"
"ABR91080","151","25.6500","6009515856540"
"ABR91100","177","25.6500","6009515856557"
"ABR91120","69","25.6500","6009515856564"
"ABR93040","232","25.6500","6009515807276"
"ABR93080","3","25.6500","6009515807283"
"ABR93100","149","25.6500","6009515811846"
"ABR93120","-37","25.6500","6009515807290"
"ABR94040","128","321.0000","6009515821258"
"ABR94060","69","321.0000","6009515824471"
"ABR94080","79","314.5500","6009515821265"
"ABR94100","41","301.6000","6009515824488"
"ABR94120","-2","301.6000","6009515821272"
"ABR94150","95","325.2000","6009515821289"
"ABR94180","154","306.8000","6009515821296"
"ABR94220","103","301.6000","6009515824495"
"ABR94240","180","322.3000","6009515821302"
"ABR94320","124","325.2000","6009515821319"
"ABR94400","93","325.2000","6009515821326"
"ABR94500","130","325.2000","6009515821333"
"ABR94600","18","325.2000","6009515824501"
"ABR95040","36","321.0000","6009515821340"
"ABR95080","53","321.0000","6009515821357"
"ABR95120","183","304.7500","6009515821364"
"ABR95150","24","325.2000","6009515821371"
"ABR95180","117","306.8000","6009515821388"
"ABR95240","78","325.2000","6009515821395"
"ABR95320","33","306.8000","6009515821401"
"ABR95400","439","325.2000","6009515821418"
"ABR95500","84","306.8000","6009515821425"
"ABR960060","267","399.9000","6009515821432"
"ABR960080","277","377.2500","6009515821449"
"ABR960100","261","399.9000","6009515821456"
"ABR960150","30","399.9000","6009515821470"
"ABR960180","297","399.9000","6009515821487"
"ABR960220","357","459.6000","6009515827847"
"ABR960240","280","464.6500","6009515821494"
"ABR960320","96","464.6500","6009515821500"
"ABR960360","3","490.4000","6009515827854"
"ABR960400","71","496.3500","6009515821517"
"ABR960600","110","464.6500","6009515821524"
"ABR960800","197","464.6500","6009515821531"
"ABR961200","121","464.6500","6009515821555"
"ABR961500","326","464.6500","6009515821562"
"ABR962000","292","511.9500","6009515821579"
"ABR962500","170","463.8500","6009515821586"
"ABRF155060","22","474.9000","6009515831998"
"ABRF155080","42","492.4500","6009515832001"
"ABRF205060","2","605.4500","6009515832018"
"ABRF205080","865","347.6000","6009515832025"
"ABRF301060","14","21.0000","6009515832032"
"ABRF301080","184","22.1500","6009515832049"
"ABRF301580","-588","22.1500","6009515832056"
"ABRF302060","4","24.0000","6009515832063"
"ABRF302080","132","21.6000","6009515832070"
"ABRF401060","362","19.6500","6009515832087"
"ABRF401080","163","20.6500","6009515832094"
"ABRF4020120","48","25.9000",""
"ABRF402060","485","22.6500","6009515832100"
"ABRF402080","-275","24.0000","6009515832117"
"ABRF403060","77","37.4500","6009515832124"
"ABRF403080","-112","40.9000","6009515832131"
"ABRF502060","36","38.6500","6009515832148"
"ABRF502080","265","39.2000","6009515832155"
"ABRF503060","2653","42.8000","6009515832162"
"ABRF503080","-61","42.0000","6009515832179"
"ABRF602060","-17","40.6500","6009515832186"
"ABRF602080","-15","40.6500","6009515832193"
"ABRF603060","-21","48.3500","6009515832209"
"ABRF603080","134","43.9500","6009515832216"
"ABRF604060","146","53.5500","6009515832223"
"ABRF604080","-51","53.5500","6009515832230"
"ABRF605060","-12","67.5000","6009515832247"
"ABRF605080","6","67.5000","6009515832254"
"ABRF802060","115","57.7000","6009515832261"
"ABRF802080","84","57.7000","6009515832278"
"ABRF802580","68","57.7000","6009515832285"
"ABRF8030120","69","62.3500","6009515836603"
"ABRF803060","31","62.3500","6009515832292"
"ABRF803080","-12","62.3500","6009515832308"
"ABRF804060","32","78.4000","6009515832315"
"ABRF804080","69","62.3500","6009515832322"
"ABRF805060","41","77.3000","6009515832339"
"ABRF805080","-45","77.3000","6009515832346"
"ABRG07601","195","15.3000","6009515811730"
"ABRG115-1","2637","25.0000","6009515810122"
"ABRG115-2","-442","34.5000","6009515865610"
"ABRG125-1","1643","29.9500","6009515801465"
"ABRG180","1268","66.9500","6009515865627"
"ABRG230","123","66.9500","6009515810139"
"ABRN001","-15","303.7500","6009515835859"
"ABRN001-5","0","76.7500","6009515862022"
"ABRN002","46","353.2000","6009515835866"
"ABRN002-5","3","89.5000","6009515862039"
"ABRN003","-4","342.7000","6009515835873"
"ABRN003-5","-2","85.7000","6009515862046"
"ABRN004","100","391.4500","6009515835880"
"ABRN004-5","0","97.9000","6009515862053"
"ABRN005","70","391.4500","6009515835897"
"ABRN005-5","13","97.9000","6009515862060"
"AC100-01","3","1758.1500","6009515843816"
"AC100-11","27","1511.9500",""
"AC101-006-11","3","1494.2500","6009515859305"
"AC101-006-21","20","1013.9500",""
"AC101-008-11","20","1388.3000","6009515845315"
"AC101-008-21","8","1292.2000",""
"AC101-012-11","1","2539.6000","6009515845322"
"AC101-012-21","4","2305.4500",""
"AC111-006-11","3","1486.8500","6009515823481"
"AC111-006-12","26","865.8000","6009515862596"
"AC111-006-16","2","1271.7500","6009515865986"
"AC111-008-11","8","1489.2500","6009515845476"
"AC111-008-12","27","1104.8000","6009515815387"
"AC111-008-16","1","1749.9000","6009515866006"
"AC111-012-11","1","2550.9500","6009515865986"
"AC111-012-12","5","1955.6500","6009515816278"
"AC111-012-16","0","2814.6000","6009515866013"
"AC112-006-12","5","3683.7000","6009515869519"
"AC112-006-12Q","0","2943.6000","6009515816285"
"AC112-008-12Q","1","3921.1500","6009600404892"
"AC112-012-12","0","7143.7500","6009515866198"
"AC112-012-12Q","9","5200.0500","6009600405332"
"AC115-006-11","0","2274.6500",""
"AC115-008-11","0","3003.2500",""
"AC115-012-11","0","4305.1000",""
"AC116-006-11","0","4131.3000",""
"AC116-008-11","0","4898.7000",""
"AC116-012-11","0","6394.7500",""
"AC118-020-11","0","6862.7000",""
"AC118-020-13","5","10807.2500","6009515858872"
"AC118-024-11","1","8053.5500","6009515865849"
"AC119-012-12","0","5102.9000","6009515849221"
"AC120-006-12","34","608.6500","6009515863838"
