model,availability,price,barcode
"PLC1510","18","565.2500","6009515848972"
"PLC1520","2","1168.5500","6009515848989"
"PLC1530","16","1817.8500","6009515848996"
"PLC1540","12","633.0500","6009515849009"
"PLC1570","43","2055.1000","6009515849030"
"PLC1580","46","2135.0500","6009515849047"
"PLC1590","12","4190.1500","6009515849054"
"PLC1600","6","4427.4500","6009515849061"
"PLC1610","11","4743.2500","6009515849078"
"PLC1620","29","7905.8500","6009515849085"
"PLC1630","51","8696.2000","6009515849092"
"PLC1640","6","12649.2000","6009515849108"
"PLC1650","8","14229.8000","6009515849115"
"PLC1660","32","2033.4000","6009515858117"
"PLC1680","2","2447.7500","6009515860684"
"PLC1690","74","3662.2500","6009515863401"
"PLC171305","69","380.5500","6009515837792"
"PLC18010","44","258.9500","6009515849481"
"PLC18020","48","341.6000","6009515849498"
"PLC18030","64","355.1500","6009515849504"
"PLC18040","80","387.7000","6009515849511"
"PLC18050","109","516.5000","6009515849528"
"PLC18060","80","581.6000","6009515849535"
"PLC18070","24","258.9500","6009515849542"
"PLC18080","174","341.6000","6009515849559"
"PLC18090","184","355.1500","6009515849566"
"PLC18100","176","387.7000","6009515849573"
"PLC18110","191","516.5000","6009515849580"
"PLC18120","176","581.6000","6009515849597"
"PLC18130","70","258.9500","6009515849603"
"PLC18140","45","341.6000","6009515849610"
"PLC18150","143","355.1500","6009515849658"
"PLC18160","137","387.7000","6009515849627"
"PLC18170","137","516.5000","6009515849634"
"PLC18180","118","581.6000","6009515849641"
"PLC19010","5","2828.8500","6009515869632"
"PLC19020","7","2828.8500","6009515869649"
"PLC19030","8","2828.8500","6009515869656"
"PLC50060","56","89.4500","6009515844622"
"PLC50070","119","40.7000","6009515844882"
"PLC744627","11","12787.5500","6009515869625"
"PLC786639","12","17814.7000","6009515869618"
"PM507","352","134.2500","6009600406759"
"PM508","557","147.0500","6009600406766"
"PM509","19","142.3500","6009600406773"
"PM510","277","61.9500","6009600406780"
"PM511","467","67.8000","6009600406797"
"PM512","237","81.8500","6009600406803"
"PM513","606","113.8000","6009600406810"
"PM514","350","119.7500","6009600406827"
"POL01-02","7","219.7000",""
"POL01-13","10","107.2500",""
"POL01-15","1","4.4000",""
"POL01-31","9","397.3500",""
"POL01-38","10","263.9500",""
"POL01-39","29","71.1000",""
"POL01-42","9","35.6000",""
"POL01-53","10","454.7500",""
"POL02","295","1849.0000","6009515828516"
"POL02-13","16","51.4500",""
"POL02-29","6","382.3500",""
"POL02-SK01","19","25.6500","6009515850095"
"POL02-SK02","15","183.7000","6009515851101"
"POL02-SK03","52","527.0000","6009515851118"
"POL02-SK04","20","88.0000","6009515851125"
"POL02-SK05","30","78.6000","6009515851132"
"POL02-SK06","43","462.7000","6009515851149"
"POL02-SK07","28","65.7500","6009515851156"
"POL02-SK08","32","246.0000","6009515851163"
"POL02-SK09","8","152.0000","6009515851170"
"POL02-SK10","249","68.3000","6009515851187"
"POL02-SK11","34","111.9500","6009515851194"
"POL02-SK12","33","17.1000","6009515851200"
"POL02-SK13","64","303.2000","6009515851217"
"POL02-SK14","31","71.7500","6009515851224"
"POL02-SK15","21","111.0500","6009515851231"
"POL02-SK16","19","17.9000","6009515851248"
