parent,code,image,url,name,description,meta_description,meta_keyword,category_tree
"AD","ADB","","https://www.vermontsales.co.za/index.php?route=product/category&path=827","Masonry/Stone","Auger","Auger","Auger","Abrasive/Grinding/Polish > Fibre Discs > Masonry/Stone"
"A","AE","","https://www.vermontsales.co.za/index.php?route=product/category&path=1288","Flap Wheels","Spade","Spade","Spade","Abrasive/Grinding/Polish > Flap Wheels"
"AE","AEA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1289","Large Flap Wheels (Machine)","STD","STD","STD","Abrasive/Grinding/Polish > Flap Wheels > Large Flap Wheels (Machine)"
"AE","AEB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1330","Flap Wheels With Shaft","Pointed Edge","Pointed Edge","Pointed Edge","Abrasive/Grinding/Polish > Flap Wheels > Flap Wheels With Shaft"
"A","AF","","https://www.vermontsales.co.za/index.php?route=product/category&path=885","Flap Discs","Glass & Tile","Glass & Tile","Glass & Tile","Abrasive/Grinding/Polish > Flap Discs"
"AF","AFA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1441","Wood/Steel","Glass and Tile Drill","Glass and Tile Drill","Glass and Tile Drill","Abrasive/Grinding/Polish > Flap Discs > Wood/Steel"
"AF","AFB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1828","Stainless Steel","Stainless Steel","Stainless Steel","Stainless Steel","Abrasive/Grinding/Polish > Flap Discs > Stainless Steel"
"AF","AFC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2404","Non-Woven","Non-Woven","Non-Woven","Non-Woven","Abrasive/Grinding/Polish > Flap Discs > Non-Woven"
"A","AG","","https://www.vermontsales.co.za/index.php?route=product/category&path=908","Grinding Wheel Machine","Diamond","Diamond","Diamond","Abrasive/Grinding/Polish > Grinding Wheel Machine"
"AG","AGA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1442","Steel","Diamond Drill Bit","Diamond Drill Bit","Diamond Drill Bit","Abrasive/Grinding/Polish > Grinding Wheel Machine > Steel"
"AG","AGB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1450","Non-Ferrous","Diamond Core Bit","Diamond Core Bit","Diamond Core Bit","Abrasive/Grinding/Polish > Grinding Wheel Machine > Non-Ferrous"
"AG","AGC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2343","Stainless Steel","Stainless Steel","Stainless Steel","Stainless Steel","Abrasive/Grinding/Polish > Grinding Wheel Machine > Stainless Steel"
"A","AH","","https://www.vermontsales.co.za/index.php?route=product/category&path=875","Rotary Rasps/Burrs/Files","Sets","Sets","Sets","Abrasive/Grinding/Polish > Rotary Rasps/Burrs/Files"
"AH","AHA","","https://www.vermontsales.co.za/index.php?route=product/category&path=882","Carbide Burrs","HSS","HSS","HSS","Abrasive/Grinding/Polish > Rotary Rasps/Burrs/Files > Carbide Burrs"
"AH","AHB","","https://www.vermontsales.co.za/index.php?route=product/category&path=876","Rotary Files","HSS-G","HSS-G","HSS-G","Abrasive/Grinding/Polish > Rotary Rasps/Burrs/Files > Rotary Files"
"AH","AHC","","https://www.vermontsales.co.za/index.php?route=product/category&path=883","Rotary Rasps","Cobalt","Cobalt","Cobalt","Abrasive/Grinding/Polish > Rotary Rasps/Burrs/Files > Rotary Rasps"
"A","AI","","https://www.vermontsales.co.za/index.php?route=product/category&path=953","Diamond Grinding Wheel/Miller","SDS MAX","SDS MAX","SDS MAX","Abrasive/Grinding/Polish > Diamond Grinding Wheel/Miller"
"A","AJ","","https://www.vermontsales.co.za/index.php?route=product/category&path=932","Polishing Compounds","Hex Shank","Hex Shank","Hex Shank","Abrasive/Grinding/Polish > Polishing Compounds"
"AJ","AJA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1868","Metals","Metals","Metals","Metals","Abrasive/Grinding/Polish > Polishing Compounds > Metals"
"AJ","AJB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2247","Automotive","Automotive","Automotive","Automotive","Abrasive/Grinding/Polish > Polishing Compounds > Automotive"
"A","AK","","https://www.vermontsales.co.za/index.php?route=product/category&path=1265","Backing Pads","Spot Weld","Spot Weld","Spot Weld","Abrasive/Grinding/Polish > Backing Pads"
"AK","AKA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2019","Adaptors/Arbors","Adaptors/Arbors","Adaptors/Arbors","Adaptors/Arbors","Abrasive/Grinding/Polish > Backing Pads > Adaptors/Arbors"
"AKA","AKAB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2310","Converter Pad","Converter Pad","Converter Pad","Converter Pad","Abrasive/Grinding/Polish > Backing Pads > Adaptors/Arbors > Converter Pad"
"AKA","AKAC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2020","Spindle Pads","Spindle Pads","Spindle Pads","Spindle Pads","Abrasive/Grinding/Polish > Backing Pads > Adaptors/Arbors > Spindle Pads"
"AK","AKC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2008","Lock Nuts","Lock Nuts","Lock Nuts","Lock Nuts","Abrasive/Grinding/Polish > Backing Pads > Lock Nuts"
"AKC","AKCB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2009","Pin Spanners","Pin Spanners","Pin Spanners","Pin Spanners","Abrasive/Grinding/Polish > Backing Pads > Lock Nuts > Pin Spanners"
"AK","AKD","","https://www.vermontsales.co.za/index.php?route=product/category&path=2012","Interface/Protection Pads","Interface/Protection Pads","Interface/Protection Pads","Interface/Protection Pads","Abrasive/Grinding/Polish > Backing Pads > Interface/Protection Pads"
"AK","AKE","","https://www.vermontsales.co.za/index.php?route=product/category&path=2533","Graphite Pad/Plate","Graphite Pad/Plate","Graphite Pad/Plate","Graphite Pad/Plate","Abrasive/Grinding/Polish > Backing Pads > Graphite Pad/Plate"
"AKE","AKEA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2534","Belt Sander","Belt Sander","Belt Sander","Belt Sander","Abrasive/Grinding/Polish > Backing Pads > Graphite Pad/Plate > Belt Sander"
"A","AL","","https://www.vermontsales.co.za/index.php?route=product/category&path=1157","Polishing","MAD Bits","MAD Bits","MAD Bits","Abrasive/Grinding/Polish > Polishing"
"AL","ALA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2283","Diamond Polishing Pads","Diamond Polishing Pads","Diamond Polishing Pads","Diamond Polishing Pads","Abrasive/Grinding/Polish > Polishing > Diamond Polishing Pads"
"ALA","ALAA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2358","Dry Polishing Pads","Dry Polishing Pads","Dry Polishing Pads","Dry Polishing Pads","Abrasive/Grinding/Polish > Polishing > Diamond Polishing Pads > Dry Polishing Pads"
"ALA","ALAB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2284","Wet Polishing Pads","Wet Polishing Pads","Wet Polishing Pads","Wet Polishing Pads","Abrasive/Grinding/Polish > Polishing > Diamond Polishing Pads > Wet Polishing Pads"
"AL","ALB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2122","Lambswool","Lambswool","Lambswool","Lambswool","Abrasive/Grinding/Polish > Polishing > Lambswool"
"AL","ALC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2004","Sponges","Sponges","Sponges","Sponges","Abrasive/Grinding/Polish > Polishing > Sponges"
"AL","ALD","","https://www.vermontsales.co.za/index.php?route=product/category&path=2021","Buffing Wheels","Buffing Wheels","Buffing Wheels","Buffing Wheels","Abrasive/Grinding/Polish > Polishing > Buffing Wheels"
"AL","ALE","","https://www.vermontsales.co.za/index.php?route=product/category&path=2232","Cleaning","Cleaning","Cleaning","Cleaning","Abrasive/Grinding/Polish > Polishing > Cleaning"
"AL","ALF","","https://www.vermontsales.co.za/index.php?route=product/category&path=2169","Restoration","Restoration","Restoration","Restoration","Abrasive/Grinding/Polish > Polishing > Restoration"
"ALF","ALFA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2386","Orange Peel Pads","Orange Peel Pads","Orange Peel Pads","Orange Peel Pads","Abrasive/Grinding/Polish > Polishing > Restoration > Orange Peel Pads"
